"Channel","Alpha_Tag","TX_RX_Frequency","TX_RX_Tone","Power","Bandwidth","Notes"
"1","Ch 1 Simplex","462.5625","","Low","N","FRS 1/Nat'l Simplex"
"2","Ch 2 Simplex","462.5875","","Low","N","FRS 2"
"3","Ch 3 Simplex","462.6125","","Low","N","FRS 3"
"4","Ch 4 Simplex","462.6375","","Low","N","FRS 4"
"5","Ch 5 Simplex","462.6625","","Low","N","FRS 5"
"6","Ch 6 Simplex","462.6875","","Low","N","FRS 6"
"7","Ch 7 Simplex","462.7125","","Low","N","FRS 7"
"8","Ch 8 Simplex","462.5500","141.3","High","N","GMRS 15/PHX 550 Tango"
"9","Ch 9 Simplex","462.5750","69.3","High","N","GMRS 16"
"10","Ch 10 Simplex","462.6000","69.3","High","N","GMRS 17"
"11","Ch 11 Simplex","462.6250","69.3","High","N","GMRS 18"
"12","Ch 12 Simplex","462.6500","69.3","High","N","GMRS 19"
"13","Ch 13 Simplex","462.6750","141.3","High","N","GMRS 20/Nat'l Simplex"
"14","Ch 14 Simplex","462.7000","141.3","High","N","GMRS 21/Camping Alpha"
"15","Ch 15 Simplex","462.7250","69.3","High","N","GMRS 22/Camping Bravo"
"16","Ch 16 Simplex","462.5750","","High","N","GMRS 16/4x4 Off-Road Channel"